name,user rating,user review
"The Brutalist",5.0,"Completely not what I expected. Visceral and brutal. Year’s biggest surprise."
"Moana 2",0,"I was nervous going in as Moana 1 is so iconic, and expectations were dampened when it seemed the film was going direct to streaming. I needn't have worried! This movie is its own thing, it's an ensemble piece with more of the previous film's crowd pleasers (chicken, pig and coconut!) and David Fane and Rose Matafeo who steal the show with their comedic chops. Special mention must go to demi-villain Awhimai Fraser who totally rocked and had my fave song (in a crop of soon to be tik tok ear worms globally!). Haven't seen Reo version yet (Awhimai is in both!) but it's at the top of my must-see list now! Kia Kaha to M8 - the Magnificent 8 of Moana 2!"
"Megalopolis",0.5,"Half a star for Wow Platinum. This film tries so hard but it just falls flat. The Roman decadence is nowhere to be seen, where is the bacchannalia and the cornucopia? Nothing visceral this way comes. I almost walked out but my interest piqued after the 'talk-to-the-screen' scene (I think it should be audience participation with the line printed on your ticket!). From there, I enjoyed the fever dream moving image art installation heading to a stumbling closure. Biggest lost opportunity: the Megalon. So meh. Couldn't it have got out of control and started eating the city ala le blob? Injected into humans turning them into sex-starved megalonian robots? (hinted at!) Oh, and the Megalopolis was only a Metropolis. Where or where was the Mega? (and I don't have a clue what all the Maga hints meant, either...maddening.)
Oscar nom for Aubrey Plaza, please."
"Leave the World Behind",4.0,"Netflix gets very Meta with a parable on physical media (?) when the digital world comes crashing down (right down to the now-redundant Netflix logo on a remote).
My digital world came crashing down in February 2023 when Cyclone Gabrielle took down net and cell phones for a week in my remote, rural community in New Zealand so its only apt that I watched this day-and-date global streamer via my new supposedly future-proof Starlink satellite dish connecting to Mr. Musk's satellites in space, the same satellites that apparently will be controlling self-driving Teslas that play such a freaky doom-laden role in the film.
That Friends plays a role in the plot is made even sadder with the recent passing of Matthew Perry, and one can only think could this year have been even shittier? And yes it can as this 2 hour drama-melodrama (it's not about race, it's about diversity casting!) burns my brain in 2023's closing days.
By the end of the film, I've decided I want to stockpile all my DVDs, burn all my CDs (onto a hard drive!), rush out and buy a generator ($299 at the hardware store) and fill my cupboards with cans of food.
(Yikes! That's what I'm actually already doing, my cupboards full to bursting from the local climate-crisis era welfare relief drop-off, for my, um, doomsday era yellow-stickered home, in the other corner of my home the film archive digitisation box donated to my community marae with muddy handprints from when it was lifted out of rising flood waters, this is all awfully meta-fantastic...)
Of course the reality is with AI we are actually hurtling even *faster* down the self-obsessed tech connected rabbit hole, one that leaves us lost without GPS as we pull over at gas stations that no longer sell maps because map reading is no longer a skill we need as the gentle voice in our car tells us where to go and how to get there, our hypnotic self-obsessed attachment to tech made so evidently clear in a masterful set-piece in the car early on in the film (all four family members in their own synaptic-feedback rewarding cyber-bubbles).
Seeing this film makes we want to read the book, I better rush out and buy a Kindle for Christmas, so I can download it and read it on the beach and in between chapters gaze out to the horizon waiting for the doomsday boat to arrive in 2024 which no doubt will be even scarier.
The world didn't end when the Net went away for those fateful six days, but it made me think seriously about what's left if it goes again. So I better get back to tending to the dead media collections of my Dead Media Museum: DVDs, CDs, printed maps, travel guides, VHS tapes, cassettes, records, Blu-Rays, art..."
"The Delinquents",3.0,"A surreal slow cinema bank heist movie. Say what you want about this movie, but the premise is pretty unique."
"Single All the Way",2.0,"Two stars, one for Kathy Najimy and the other for Jennifer Coolidge. Light fun entertainment for Xmas."
"Happiest Season",3.0,"Three stars for Aubrey, two stars for Kristen. Alas minus two stars for MacKenzie's character! (though the actress is great and the 3 sisters are a perfect trio!)"
"Next Goal Wins",4.5,"Taika wins! Standing ovation at TIFF well deserved. The kind of cross cultural feel good comedy we need right now. Taika wins! (Sept 2023)
December 2023 Reflections:
Next Goal Wins
Written and directed by Taika Waititi (Te-Whānau-ā-Apanui)
Seen by Leo Koziol at Princess of Wales Theatre, Toronto at TIFF
This year I had a fantastic dream that I was at one of the biggest film festivals in the world and everyone was unreservedly applauding a big Polynesian-Samoan sports-comedy, cheering on an Oscar-winning Polynesian-Māori filmmaker as a big Samoan bus sat parked on the street outside and billboards for the film lined the street for three blocks and the star of the film was a trans-Samoan actress playing a real life trans-Samoan soccer star who was there in real life.
Except it wasn’t a dream, it was real, and I was at the Toronto International Film Festival for the world premiere of Taika Waititi’s Next Goal Wins. There was a native blessing, the audience gave the film a one minute standing ovation, and we even got official Next Goal Wins coconut milk ice creams afterwards. The critics (and US-box office) may have been less kind to Waititi’s latest film, but I don’t care one bit, I know our people will love it. As a lifelong champion of Polynesian and Māori cinema, being at this premiere and feeling the love for Taika’s storytelling was a dream come true. I can die now. Thank you. Kia ora."
"Barbie",0,"OMG I want the Letterboxd algorithm!"
"The Lord of the Rings: The Return of the King",4.0,"The movie that changed Hollywood and transformed Aotearoa New Zealand forever. From 2001 to 2020, New Zealand experienced a tourism boom that in large part can be considered the result of a 'Middle Earth' inspired transformation of the places and landscapes of our country from north to south. 'Hobbiton' in the Waikato is considered a compulsory tourism stop; the Southern Alps are as famed for appearing in this trilogy as they are for their sheer, remarkable, sky piercing beauty; and Wellington is now 'Wellywood' with Gandalf atop a giant Native hawk permanently on display in the airport (Wellington is home to both Weta Studios and Wingnut, where all six LOTR films were made and also much of the 2 Avatar films - in 2020 the city became a UNESCO City of Film). The movie trilogy changed Hollywood because Peter Jackson proved a blockbuster series did not have to be made in the US or Europe, almost like bringing a cinema-Olympics home, he made one of the largest film franchises in box office history in his native country. Of course I haven't yet spoken to the quality of the film and the storytelling, but the Return of the King was the one that quietened the critics, sweeping the Oscars and lifting Jackson up alongside names like Spielberg, Lucas and Cameron. The art and craft of the film is apparent throughout, with the film drawing on a vast pool of New Zealand-based talent - costume, cinematography, set design, SFX - and on the weekend of the 2003 premiere the whole country stopped for a movie premiere. Jackson quickly followed up with a long wished for faithful redux of King Kong (with giant Weta bugs included) and The Hobbit turned into a somewhat over-bloated trilogy (the book is about a 1/10th in length to LOTR) but no matter it is this canonical trilogy and this final chapter that forever changed Aotearoa New Zealand and transformed power structures in Hollywood opening up film production and having countries compete for film incentives from Wellington to Warsaw, Vancouver to Vilnius. Jackson and creative partner Fran Walsh retains their waterfront home in Wellington and live on a sprawling campus in the sunny Wairarapa - with a similar manse occupied by James Cameron just next door. When it all started with a quintessentially Kiwi horror films with exploding sheep in the 1980s, who knew it would come to this?"
