name,user rating,user review
"Fantastic Four: Rise of the Silver Surfer",2.5,"In Victor's defense, it is really tough deciding between preventing the apocalypse and getting a cool surfboard"
"Arthur’s Missing Pal",1.0,"Arthur had a rough transition into 3D"
"The Monkey King: Uproar in Heaven",3.0,"A bit too much dead air for my liking but I love how fluid the animation was for the time and how cool the fight scenes are. Who was that funky monkey"
"Election",4.0,""
"Fantastic Four",2.5,"I liked when Johnny got launched into the Whopper sign and turned it into a Flame Grilled Whopper™"
"Follow That Bird",3.0,">BIG BIRD
>BIG BIRD I KNOW YOU HAVE A LOVING SUPPORT SYSTEM AND SO MANY FRIENDS WHO CARE ABOUT YOU BUT YOU'RE NOT HAPPY ON SESAME STREET BECAUSE... BECAUSE YOU'RE JUST NOT, OKAY!
What the fuck was her problem?"
"Gordy",2.0,"When you realize you aren't as Gordypilled as your friends 😔"
"It Was Just an Accident",4.0,"This definitely deserves to get 2 or 3 acting nominations at the Oscars. It won't though 🙄"
"Indiana Jones and the Last Crusade",5.0,"Just noticed I logged this 3 years in a row so I might as well go for 4! Watching this on cable at 1am the way God intended"
"Bugonia",4.0,"Evil movie (complementary). Plemons has never been better"
"Blue Moon",4.0,"Finally, a movie about a guy who hates Oklahoma as much as I do"
"Frankenstein",4.5,"Victor actually tries to be a father in this version and he's somehow even worse at it than usual"
"Weapons",4.0,"Propaganda designed to get you to buy more soup"
"Sentimental Value",4.5,"Jay Kelly for grown ups"
"Is This Thing On?",3.0,"Oh, sure, Laura Dern, why don't you go ahead and divorce the guy who's wearing a $5000 suit, COME ON"
"Pinch",3.5,"Very impressive directing/producing/writing/starring effort from Uttera Singh. Spread its story out a little thin but there's some truly excellent stuff here"
"Alice-Heart",4.0,"Had a wonderful time with this film, felt a lot like Frances Ha but with its own Philly flair. Would love to see Lissa Carandang-Sweeney in more films. Also, don't think I didn't notice that Jim Thorpe Film Festival badge in Tony's car, I still have the same one from seeing Hundreds of Beavers there!"
"It Ends",4.5,"Crazy fucking good. Couldn't believe how strong the acting and chemistry was, couldn't believe what a masterful tonal balance this struck between terror, quiet dread, and laughing in the face of the abyss. Favorite film I've seen at Philly Film Fest (I've only seen 4 so far, I kinda suck at this whole festival thing)"
"The Return of the Living Dead",4.0,"I don't know if this actually happened in real life"
"Jay Kelly",3.5,"It's good, but there's an inescapable 'woe is me' quality that never fully goes away even during Clooney's best scenes. It quickly becomes evident that the emotional core lies with Sandler's character, to the point where I had to question why the story wasn't about him. As a Baumbach fan I'm disappointed that the dialogue wasn't sharper and the message wasn't conveyed in a more subtle manner; it really isn't like him to turn in a script so standard. Credit…"
"Devil Story",1.0,"Fun when the man is randomly trying to shoot the horse. Awful otherwise"
"Hamnet",3.5,"Stunning performance from de-aged Hayden Christensen at the end as Hamlet"
"Wake Up Dead Man",4.0,"After the screening there was a Q&A where Rian Johnson was asked if casting Jeremy Renner was an intentional nod to the hot sauce joke in Glass Onion. Nope, apparently Rian just really wanted to work with Jeremy Renner, then realized he already did the hot sauce gag, and said 'Ah fuck it' and cast him anyway. You KNOW this mf was on the Jeremy Renner app 24/7"
"Opera",3.5,"I like how that little girl just lived in that vent"
"Porgy and Bess",2.5,"They had one set, a goat, and a dream"
"Lost in Starlight",4.5,"Climax was obviously the best part but that elevator kiss is also gonna stick with me for a while"
"Lifeforce",3.0,"Pretty cool but I wanted more vampire sucking and shit"
"Alvin and the Chipmunks: The Road Chip",2.0,"Better than the previous Chipmunks movie. I never though I'd see the day."
"Ninja Knight Thunder Fox",3.0,"Worth it for the ending alone!"
"The Flintstones",2.5,"Still crazy that Halle Berry won her Oscar for this"
