name,user rating,user review,is_valid,negative,neutral,positive,compound
Aladdin,4.0,"(Was gonna give this a 7 but the supreme perfection of A Whole New World convinced me otherwise)
This is a really solid, enjoyable film. I'm not overly attached to the characters or story of this one, but fantastic songs, one hell of a final battle, and that goddamn amazing Robin Williams performance make this a treat to revisit.",True,0.146,0.502,0.353,0.9675
Taylor Tomlinson: Look at You,4.0,*insert quote from the special here*,True,0.0,0.649,0.351,0.4019
The Good Dinosaur,1.5,...at least it's pretty.,True,0.0,0.484,0.516,0.4939
Strange World,2.5,"...better than Lightyear, I guess?",True,0.0,0.58,0.42,0.4404
Olaf’s Frozen Adventure,1.0,5 minutes in I was ready to walk out of the theater and just wait till Coco came out on DVD,True,0.0,0.889,0.111,0.3612
Klaus,4.0,"A beautifully animated, heartwarming, funny, thoroughly delightful film. Even though the main character is literally just Kuzco",True,0.0,0.485,0.515,0.9299
The Monkey King: Uproar in Heaven,3.0,A bit too much dead air for my liking but I love how fluid the animation was for the time and how cool the fight scenes are. Who was that funky monkey,True,0.173,0.588,0.24,0.6059
The World’s End,4.5,"A bit weak comedically, but it's still an incredible, subversive, witty, amazing film. The dramatic stuff here is the best in the trilogy, the stakes are easily the highest, the characters are fun and entertaining. It's a fantastic finish to one of the greatest trilogies ever made, even if it falls ever so slightly short of Hot Fuzz.",True,0.054,0.544,0.403,0.988
Ocean’s Eleven,4.0,"A couple days ago I was grabbing dinner at this nice new ramen place. There I was, content with my noodles, oblivious to the world around me. Before my food arrived, I caught a few glimpses of a movie playing on the large flat-screen across from my table. Images of George Clooney and a fresh-faced Matt Damon flooded my eyeballs, and I vaguely recognized the film based on years of cultural osmosis. One of those Steven Soderbergh Ocean movies, I think? I've heard decent things about them; maybe I should check them out in a more appropriate setting than this. I'm here for ramen and nothing else.
As I enjoyed my meal, thoughts of the movie left my mind entirely. I definitely didn't catch any of the rather low audio emanating from the fairly distant TV, and my eyes were firmly averted and focused on my ramen. Yet, as it was a rather slow day for business, a couple of the server girls found themselves gathering around the TV, and i couldn't help but overhear them trying to place the name of the film itself, as well as an actor they recognized.
'Yeah, what's his name again?'
'Oh, I think that's Don Cheadle.'
My head jolted up in an instant. It couldn't be.
But lo and behold, there he was, looking younger and more spry than I had seen him in quite some time. It was the man of the hour, every hour to be precise.
Don Cheadle was in the Ocean trilogy.
How could I have never known? I hold celebratory events on Twitter in honor of his birthday every year! I quote his iconic catchphrase from the 2015 megahit Avengers Age of Ultron, 'Boom, you looking for this?' on a regular basis! I sat through that fuckass Space Jam movie to see him!
If I had known he was in a popular and acclaimed trilogy of heist movies, I would have dropped everything and watched them many years ago. How did I waste so much of my life not knowing this crucial cinematic fact?!?
So yeah I watched this movie and he was pretty good in it. I liked his silly British accent. He better be in the other two movies more though",True,0.02,0.869,0.112,0.9896
Ratatoing,1.5,"A dense political thriller filled with thought-provoking social commentary and an explicit critique of capitalism and monopolistic business practices.
It was unironically better than Cars 2.",True,0.0,0.848,0.152,0.5106
