name,user rating,user review
Bride & Prejudice,3,#NotMyDarcy
Yuri!!! on Ice,4,(between tears) they were...born to make history (breaks out into full-on sobbing)
Aladdin,4,"(Was gonna give this a 7 but the supreme perfection of A Whole New World convinced me otherwise)
This is a really solid, enjoyable film. I'm not overly attached to the characters or story of this one, but fantastic songs, one hell of a final battle, and that goddamn amazing Robin Williams performance make this a treat to revisit."
Taylor Tomlinson: Look at You,4,*insert quote from the special here*
Neon Genesis Evangelion: The End of Evangelion,,�
The Good Dinosaur,1.5,...at least it's pretty.
Strange World,2.5,"...better than Lightyear, I guess?"
Follow That Bird,3,">BIG BIRD
>BIG BIRD I KNOW YOU HAVE A LOVING SUPPORT SYSTEM AND SO MANY FRIENDS WHO CARE ABOUT YOU BUT YOU'RE NOT HAPPY ON SESAME STREET BECAUSE... BECAUSE YOU'RE JUST NOT, OKAY!
What the fuck was her problem?"
High School Musical 2,3,24 Frames of Nick is gonna kill me for this
Olaf’s Frozen Adventure,1,5 minutes in I was ready to walk out of the theater and just wait till Coco came out on DVD
Monster House,3.5,8 year old me was WRONG this movie kinda rules
Klaus,4,"A beautifully animated, heartwarming, funny, thoroughly delightful film. Even though the main character is literally just Kuzco"
Hot Fuzz,4.5,"A bit of a slow burn at times and those twat side cops are really irritating. But the payoff is beyond phenomenal; this is a fantastic, hilarious murder mystery turned action masterwork, where every line of dialogue can and will come back later in some shape or form. An step up from Shaun of the Dead in terms of tight direction and an even tighter screenplay."
The Monkey King: Uproar in Heaven,3,A bit too much dead air for my liking but I love how fluid the animation was for the time and how cool the fight scenes are. Who was that funky monkey
The World’s End,4.5,"A bit weak comedically, but it's still an incredible, subversive, witty, amazing film. The dramatic stuff here is the best in the trilogy, the stakes are easily the highest, the characters are fun and entertaining. It's a fantastic finish to one of the greatest trilogies ever made, even if it falls ever so slightly short of Hot Fuzz."
The Zone of Interest,3,"A chilling directorial achievement with some of the most purposeful sound design I've ever heard. And yet, I couldn't help but feel that the film was very one-note; deliberately so, I'm sure. Even so, the banality of evil can only sustain a horrific on-screen atmosphere for so long. I was chilled to the bone during the first half of the film and only felt that same sensation in fleeting moments during the second half (the piano scene, when the boy locks his brother in the greenhouse, etc.) I appreciate what the film was going for but I can't say it remained effective for me personally the entire way through."
Ocean’s Eleven,4,"A couple days ago I was grabbing dinner at this nice new ramen place. There I was, content with my noodles, oblivious to the world around me. Before my food arrived, I caught a few glimpses of a movie playing on the large flat-screen across from my table. Images of George Clooney and a fresh-faced Matt Damon flooded my eyeballs, and I vaguely recognized the film based on years of cultural osmosis. One of those Steven Soderbergh Ocean movies, I think? I've heard decent things about them; maybe I should check them out in a more appropriate setting than this. I'm here for ramen and nothing else.
As I enjoyed my meal, thoughts of the movie left my mind entirely. I definitely didn't catch any of the rather low audio emanating from the fairly distant TV, and my eyes were firmly averted and focused on my ramen. Yet, as it was a rather slow day for business, a couple of the server girls found themselves gathering around the TV, and i couldn't help but overhear them trying to place the name of the film itself, as well as an actor they recognized.
'Yeah, what's his name again?'
'Oh, I think that's Don Cheadle.'
My head jolted up in an instant. It couldn't be.
But lo and behold, there he was, looking younger and more spry than I had seen him in quite some time. It was the man of the hour, every hour to be precise.
Don Cheadle was in the Ocean trilogy.
How could I have never known? I hold celebratory events on Twitter in honor of his birthday every year! I quote his iconic catchphrase from the 2015 megahit Avengers Age of Ultron, 'Boom, you looking for this?' on a regular basis! I sat through that fuckass Space Jam movie to see him!
If I had known he was in a popular and acclaimed trilogy of heist movies, I would have dropped everything and watched them many years ago. How did I waste so much of my life not knowing this crucial cinematic fact?!?
So yeah I watched this movie and he was pretty good in it. I liked his silly British accent. He better be in the other two movies more though"
Ratatoing,1.5,"A dense political thriller filled with thought-provoking social commentary and an explicit critique of capitalism and monopolistic business practices.
It was unironically better than Cars 2."
Lake Michigan Monster,4,"A fascinating rewatch in a post Hundreds of Beavers world. Compared to that movie's universally appealing sense of humor, this one is so ultra specific and so niche that I can see why it only majorly took off among my circle of friends. A couple stretches are a bit dryer than I remember (looking at you, cruise ship bit) and while there are so many comedic swings that still hit home runs for me, there are a surprising number of ones that fall a bit short. I was always enamored with the low-budget wit and ingenuity of this one, but now that I've seen those same elements on a much grander scale from the same team, it's hard to justify keeping this one at the same score. But it's still great! Captain Seafield still remains one of the funniest cinematic protagonists I've ever seen, this movie inarguably has the better song compared to its successor, and don't even get me started on the damn ghost army"
The BFG,1.5,A giant gets hit in the balls
Hercules in New York,1,A hate crime against the Greek people
Better Man,3,"A little too standard music biopic-y once you look past the pretty creative monkey business, but the saving grace is how it locks the fuck in during the musical sequences. Let Michael Gracey direct a film adaptation of Pippin or something god damn"
Finding Nemo,3.5,"A lot funnier than I remember. Stunning animation, very emotional and entertaining. I'm not a huge fan of Dory or the Tank Gang and some scenes aren't as good as others. But a really good entry in the Pixar canon, even if it's not a favorite"
Boyhood,1.5,A miserable experience that thinks it's way more profound than it actually is. It has nothing to say and its only value as a film comes from the novelty of its gimmick. Watch Lady Bird or The Florida Project instead.
Soul,4,"A more intellectual and artistic take on the same concepts that Inside Out and Coco tackled. I feel like these three movies make for a pretty interesting thematic trilogy, and while I think this might be the slight weakest of the three, it's nonetheless another hit for a fairly hit-or-miss studio these days."
Anastasia: Once Upon a Time,1,A movie with an absolutely batshit premise and zero actual plot. What a winning combo!
Indiana Jones and the Dial of Destiny,1.5,"A near-inconceivable trainwreck. I went in morbidly curious if it was slightly better or worse than Crystal Skull, and instead I got something whose closest kin is Rise of Skywalker, undoing nearly everything from its controversial predecessor but forgetting to fill the gaping hole at its center with anything meaningful or worthwhile.
Boring sidekicks, buffoonish villains who teleport to wherever the plot needs them to be, a complete lack of visual style, trite dialogue outside of a single good one-liner about Poland, and an overwhelming sense of 'been there, done that' permeate this obscenely dull and overly long snoozefest. For all the anticipation that this could possibly have been the 'Logan' of the Indiana Jones series, it's a film entirely uninterested in examing him as a character for the majority of its runtime, instead being content to let us gawk at an 80-year old man going on one last trek through a Legends of the Hidden Temple set. How in the ever-loving fuck did this cost $300 million to make???
A couple decent action scenes, some very scarce emotional moments here and there, and when Antonio Banderas showed up for 5 minutes it was nice to hear the sweet sultry tones of Puss in Boots and remember what it felt like to watch a good movie. I guess it's also nice to get confirmation that a megacorporation like Disney could never recapture the magic of Spielberg, no matter how good the cover artist they hire is in theory."
The Lion King,5,A near-perfect work of art that can never be replicated. Let's hope nobody is stupid enough to try.
Edge of Tomorrow,4.5,"A phenomenal, underrated action movie. Time loops are my jam (I'm the biggest Majora's Mask fan on the planet, after all) so this movie's fun premise, coupled with great performances and solid direction makes for such an incredible moviegoing experience. More people need to see this."
Indiana Jones and the Kingdom of the Crystal Skull,2.5,A pretty good movie if you turn it off once they get to Peru
Arrival,3.5,"A really intriguing and well-crafted sci-fi mystery. Denis Villeneuve is such a master of his craft that it's truly astounding, and I love how this movie takes its time to establish how difficult it would be to communicate with an alien race. Amy Adams is excellent as always as well. But not every scene felt necessary to me and it kinda dragged on at some parts. Still, one of the better sci-fi films in recent years"
Bee Movie,3.5,A shitpost disguised as a film
John Wick: Chapter 2,4,"A significant improvement from the first, the action is more enticing and the story is more engaging. The two halves of this movie are kinda two different movies, and while the first half is solid enough, the second half is exhilarating and satisfying. I love how well set up the rules of this universe are, to the point where I actually said 'Oh no' out loud during a certain scene. You know the one."
Flow,4,"Aaaaaaaa I love environmental storytelling! I love when animals don't talk but convey so much character and emotion regardless! I love the found family trope!
A vast improvement over Zilbalodis's previous film in terms of style and form, I can't wait to see what he does next. If this one's playing near you then run don't walk to see it!"
Belle’s Magical World,0.5,AAAAAAAAAAAAAAAAAA FUCK I HATE THIS ISJENFIDJWHDJFOENEHFIOGNEHEOFNEHEOFO43BJFOFN2BDFKEUCO4EVXPENFBXPOHRO3O2HFJ2ORO3PRHDJFPCJEFHFI
Marriage Story,4.5,"Absolutely beautiful. Stellar performances all around. Even the kid is pretty good. That argument scene? Couldn't stop crying. That scene towards the end at the pub? Sensational.
I'm not sure if some of the dialogue was quite as tight as I wanted, plus the score is a little overbearing at times (Randy Newman, man. Sigh.), but the actors easily pick up all the slack. Career-best turns from Driver and ScarJo.
Interestingly enough, a ton of people have said they found it hard to pick a side in the divorce, but I though Nicole's side was significantly stronger the whole time, and Charlie needed to be knocked down a few pegs. That's kinda what the movie felt like it was about; giving Charlie some much-needed growth as a person while Nicole gets to be the person she always wanted to be. I really cared for him by the end, and I cared for her from that first monologue with the lawyer. Great stuff.
The ending made me soft too but I think that's just cause I got Jojo Rabbit flashbacks with ScarJo and the shoelaces..."
The Secret of Kells,3,"Absolutely enchanting animation, but it feels like an unfinished beta version of Song of the Sea and Wolfwalkers. Easily Cartoon Saloon's weakest film, but not a bad start for the studio by any means."
The Last Unicorn,4,Absolutely gorgeous and powerful. Young Jeff Bridges could not voice act
Deadpool & Wolverine,2.5,Achieved my dream of seeing Matthew Macfadyen on the big screen for the first time
Goosebumps,3.5,Actually kinda fun ngl
Blended,2.5,Adam Sandler really said 'What if I made Just Go With It again'
Entergalactic,4,Add romcoms to the list of genres that are infinitely better when animated
Oliver & Company,2,"After reviewing the situation, I've come to the conclusion that I cannot stand the Oliver Twist story no matter how it's adapted"
Wake Up Dead Man,4,"After the screening there was a Q&A where Rian Johnson was asked if casting Jeremy Renner was an intentional nod to the hot sauce joke in Glass Onion. Nope, apparently Rian just really wanted to work with Jeremy Renner, then realized he already did the hot sauce gag, and said 'Ah fuck it' and cast him anyway. You KNOW this mf was on the Jeremy Renner app 24/7"
Castle in the Sky,3.5,After watching 20 Disney direct-to-DVD sequels in a row it's nice to watch a real movie instead
Indiana Jones and the Last Crusade,4.5,"After watching both Top Guns, I was in the mood for the quintessential dad movie. Not Spielberg's all-time best but definitely my all-time favorite of his"
Furry Nights,0.5,Ah sweet! Man-made horrors beyond my comprehension
Incredibles 2,3,"Ah yes, the original 'painfully average' movie. Upon further thought, it's way better than the other films I've given that moniker to. It's fun, has great writing and inventive action, and the score is solid. Filler nonsense and a weak plot/villain/finale really drag it down, and it has little to no emotional weight. But it's still enjoyable; if we only had to wait 2 years for this instead of 14 then I think I'd feel a lot better about it overall."
Little Nicky,1.5,All of a sudden I sure am hungry for Popeyes® delicious chicken!
The Cobbler,1,All the same problems as Click with none of the sauce
Asteroid City,3.5,All these famous actors and the one who made me lose my shit the most was Hugo from Succession
Gotti,5,"Alright guys I reviewed Gotti you can stop asking
(I have not seen Gotti)"
Mixed Nuts,1,Alright maybe Eight Crazy Nights wasn't that bad
Happy Gilmore,3.5,"Alright this one's really funny, I'm not made of stone"
Pink Flamingos,3.5,Alvin from Alvin and the Chipmunks has canonically watched this movie
Ratatouille,5,Always hits the spot no matter how many times I rewatch it. This is gonna be a fun video!
Rear Window,3.5,Always nice when your girlfriend takes an interest in your hobbies
Batman Returns,3.5,Am I gonna get Rio 2'd again for saying this was so much more fun than the first one
Good Burger,2.5,Am I sleep-deprived or was Ed genuinely funny
Scrooged,2,Am I still supposed to find the Scrooge character unlikeable and annoying and irredeemable 75 minutes into a 100 minute movie
Guardians of the Galaxy,4,Amazing looking water in this movie
Dolemite Is My Name,4,"An absolute blast. I had inexplicably never heard of Rudy Ray Moore or Dolemite before watching this, but I kinda want to check out everything he's ever done now. This movie is just a burst of fun and energy anchored by great performances all around, with Eddie Murphy stealing the show in every scene. Plus, as an Unbreakable Kimmy Schmidt fan, Titus Burgess is always a plus.
I got tons of Disaster Artist vibes from this, but I think this film handles the whole 'movie about making another wacky movie' thing way better. It's not especially deep, but it's a feel-good ride that's sure to inspire the artist in all of us.
(Side note, on the Wikipedia page for this movie, they use a picture of Eddie Murphy from the Shrek Forever After premiere and that made me happy)"
The Incredibles,5,"An absolutely flawless, mature family drama. It genuinely feels like it was written for adults first and kids were kind of an afterthought. Animation as a medium rarely gets better than this."
The Big Sick,4.5,"An exceptionally enjoyable rom-com with solid performances from everyone involved. You can tell this was a passion project for Kumail and his wife, it comes across so strongly in this funny, heartfelt film. Ray Romano's voice is like butter in any movie he's in so there's that too"
Nanoshark,5,An indomitable defense of human creativity. You will believe a man can pee/give birth to a shark.
Mission: Impossible II,2.5,"An obvious black sheep in nearly every respect, but I'd be lying if I said that ending chase scene wasn't cool as fuck"
The Grand Budapest Hotel,5,"An utter delight of a film that I continue to revisit on a regular basis. It might actually be Wes Anderson's best movie, which is saying quite a lot."
Sunday in the Park with George,4,"And Mandy Patinkin, who played Sunday, he gave everything"
Alien: Covenant,2.5,"And the award for most predictable movie twist goes to...
As a certified Prometheus (2012) enjoyer, I felt as if this one was too cowardly to follow through on its predecessor's general tone and ideas in a lot of ways. The sole vast improvement this one offers over the previous film is David; an already great character who in this film becomes far and away the greatest non-Xenomorph antagonist to ever grace the series. Fassbender brings such fantastical and disturbing glee to the role, which makes the progression of David's maniacal God complex truly awe inspiring.
Everything else in this movie isn't.
Far and away the least interesting and most infuriatingly incompetent group of protagonists the series has ever seen. What a truly incredible feat to not even consider wearing helmets on this uncharted alien world you just found out about weeks ago. Let's all split up in this android's bizarre castle of death, why not? Oh hey, something's clearly suspicious about him! I guess I'll follow him, ALONE, to this weird egg dungeon of his. Oh, he really wants me to stick my face up against one of these things? Don't mind if I do dawg. What could possibly go wrong.
The main lady, whose name I could not possibly remember if you put a facehugger to my head, is unbearably bland when put up against the badassery of Ripley, the devotion of Shaw, or even the simple yet effective emotional core Rain brings to the table through her relationship with Andy. What's the emotional core here? She's sad that her husband James Franco died? That's great and all but we don't know him! I'm sorry I couldn't be bothered to connect with her standard, played out grief. And why was it James fucking Franco?
I don't think it's a controversial statement to say that David is far more terrifying than the Xenomorphs in this film, but that's not solely a compliment directed at him; it's really hard to overstate just how unterrified I remained from the moment I saw that first little cartoonish CGI one unconvincingly scurry across the screen. (Not a CGI hater when it's used effectively or convincingly, it just wasn't here in the slightest!) The spine birth scene was pretty gnarly, but unfortunately the movie never strived to match that level of horror again. I mean, I wasn't supposed to laugh out loud at the shower scene, was I?
The main thing that really drags this film down for me is just how incongruent the Xenomorph stuff feels next to the genuinely compelling sight of David playing God. Even with the obvious narrative connection, the titular aliens feel like an afterthought, something that we mainly need to awkwardly squeeze into the last 20 minutes in order to appease those who felt slighted by how different Prometheus was. As someone who genuinely enjoyed Prometheus, I oddly find myself having trouble picturing someone who likes both of these films in equal measure. I wouldn't call this a betrayal of what Prometheus accomplished and what it was building towards, but it certainly doesn't feel like a natural continuation. There's the obvious factors, like the sharp deviation this film makes from the implications of Prometheus's ending, but there's also a general toning down of the lofty, somewhat pretentious, hyper-religious themes found in that movie. They can still be found in Covenant here and there, but let's just say it's easy to tell that this was from a completely different writing team. Unfortunately, I find myself siding with the ambitious, grandiose, often too big for its britches script, rather than one so bland and unspecial that I can't recall a single line of dialogue that didn't come out of David's mouth a mere half hour after watching it.
Honestly I think I might prefer Alien Resurrection over this one. At least that movie knew what it wanted to be."
The Terminal,4,'And then everybody taped a photocopy of my hand to the wall' is the new 'And then everybody clapped'
The Rapsittie Street Kids: Believe in Santa,0.5,ANIMATION. IS. CINEMA.
Summer Wars,3.5,anime
Christine,3.5,Arnie just fuck the car already
22 Rooms,4,Arthouse YouTube Poop. I got very scared when Kirby went underwater for a long time
Arthur’s Missing Pal,1,Arthur had a rough transition into 3D
Schindler’s List,5,"As iconic, almost mythic of a filmmaker Steven Spielberg is, this is the sort of film you would never imagine he has in him. Masterpiece in every sense of the word."
Welcome to the Club,1,asdfsdlgbiaubgaiuuihiuadhsulfdavpuihfugpsha
TÁR,3.5,Ashamed to admit that it took me an hour and 42 minutes to realize that was the same woman from Portrait of a Lady on Fire
Happy Feet,1.5,"Astonishingly bad. There is no story structure, the characters are either flat or annoying, random plot points and themes are piled on top of each other with no rhyme or reason, the character designs are unappealing. I thought Brave was the worst Best Animated Feature winner for sure, but leave it to this movie to prove me incredibly wrong. I can't even believe this is a real movie."
The Great Piggy Bank Robbery,4,At first this seemed pretty standard then all the mobsters showed up and I was like 'Oh yeah I get it'
Earwig and the Witch,1,At least Cars 2 had the decency to finish its story.
The Emoji Movie,1,"At one point one of the main characters says 'Ok, buzzkill', and at that moment I got down on my knees and prayed to God, thanking Him for the fact that this movie didn't release two years later.
Still better than Cars 2."
The Empire Strikes Back,5,"At the age of 7, I knew practically nothing about Star Wars. It was the Burger King kid's meal toy promotion for Revenge of the Sith that got me fascinated in all these weird aliens and robots. I got the Han Solo toy that came with a carbonite shell to put him into, and had so much fun playing with it. My dad, eager to properly introduce me to one of his favorite franchises, asked, 'Do you want to see the movie where Han gets frozen in carbonite?'
So there I was, watching my first ever Star Wars film, getting absolutely transfixed by the epic battle of Hoth, the funny robots, the cool lightsaber fights, and the sad ending made a little brighter by that pretty sun they were all staring into by the end. Immediately after it was over, I asked to see the other 5 movies. I was hooked forever.
Unbelievably, Empire Strikes Back manages to invoke the same feelings of transfixion and awe every single time I rewatch it. While it maintains the simple, pulpy, campy fun of the original to a degree, it fleshes out its cast and their relationships by putting them through constant, unrelenting hardship. The emotional toll this story takes on every one of its characters is what sets it apart as a tremendous installment of both the original trilogy, and the saga as a whole.
Much like how Revenge of the Sith belongs to Palpatine, this movie belongs to Darth Vader. His decently evil presence in the original film is cranked to the max, and his endless torment of both the rebels and his own officers that fail him makes for such a vicious, calculating antagonist. This is the movie that made him one of the greatest villains in cinematic history, and that twist completely changes the trajectory of the entire saga, while also being shocking in its own right.
Everything involving Yoda is truly magical; there's so much weight behind every one of his lines and actions once he reveals his initial ruse. Yoda paints a picture of the magnificence of the Force, and the power the great mystery holds. Every one of his scenes holds tremendous purpose, not only in teaching us more about the Force, but about Luke as well. One of the most clever touches is during his encounter with Vader in the cave. You hear the lightsaber sound, but you don't see if Luke or Vader is the one who turned it on. Then, Luke backs up, and you see that his lightsaber is the one that ignited. He failed Yoda's test by using the Force for attack rather than defense, and he does the same thing when confronted with the real Darth Vader at Cloud City. Brilliant.
My favorite scene in the film, hell, the entire Star Wars saga, is Han being frozen in carbonite. The tragedy of the moment is illustrated perfectly through Han and Leia's farewell kiss, and there's someone so mystifying about 'I love you.' 'I know.' It gives me chills every time and I can't explain why; it's simply perfect from a character perspective. And the shot of the smoke from the carbonite chamber clearing away to reveal Vader's sinister visage, as the Imperial March plays...cinema doesn't get better than this. It really doesn't.
Empire Strikes Back is THE perfect sequel, the film that changed everything for the Star Wars saga and opened it up to truly magnificent, emotionally resonant storytelling. It's hard to imagine what would've happened to the franchise had this follow-up installment not soared in the way it did, but fortunately for all of us, it did. This movie will always hold a special place in my heart for introducing me to a galaxy far, far away, but its sheer dramatic weight has firmly planted it as one of my favorite films ever made. And the odds of that fact changing are so low, they're not worth telling."
Squid Game,4.5,Aw hell yeah I love Splatoon
The Substance,4.5,Awww she didn't go on her date with Spark Brushel from Ace Attorney 😞
An Ostrich Told Me the World Is Fake and I Think I Believe It,3,Baby's first 4th wall break
Spaceman,2,Bad but for completely opposite reasons than any other bad Sandler film
Billy Madison,2,Bad. All of Sandler's worst comedic instincts in full display. The gun bit was funny
Bāhubali 2: The Conclusion,4.5,Bahubali: 2 hours of flashback and then The Conclusion is in the last 30 minutes
Dungeons & Dragons: Honor Among Thieves,4,BALDUR'S GATE MENTIONED
Licorice Pizza,4.5,"Banger movie! Reeeeeeeeeeeeeeeally would have liked a more ambiguous and less rushed ending tho. Also pretty wild that the Asian jokes that caused such an uproar could've just been edited out of the movie entirely and nothing would change. So like, why didn't they
Was that John C. Reilly as Frankenstein for 2 seconds or am I going insane"
When Marnie Was There,4.5,Beautiful. Too bad Ghibli never made any more movies after this. None whatsoever.
Baby Driver,4.5,"Been riding a 5-star high with this movie for the past 5 years, but I think it's finally starting to wear off a bit as I can't really justify giving a movie with such a relatively messy screenplay a higher score than Hot Fuzz or Scott Pilgrim. Deborah's entire motives are so whack and incomprehensible, and you could cut a solid 15 minutes out of the final heist preparation to make for a much tighter narrative. And while this didn't affect the score, the combo of Elgort and Spacey makes this a really tough film to recommend nowadays.
But fucking hell if this isn't some of the coolest, tightest editing and direction I've ever seen. The people who equate this to Last Night in Soho as if they're both equal signs of Edgar Wright's deterioration as a filmmaker are, respectfully, out of their minds."
Raiders of the Lost Ark,4,"Belloq really is the most despicable villain ever, he's a Nazi ally AND he's French"
Theater Camp,3,Ben Platt redemption arc?
The Rescuers,3,Bernard out here cosplaying as Mario in his first scene
Parasite,4.5,BEST MOTHERFUCKING PICTURE
Sharktopus vs. Whalewolf,1,Best part of the movie was when my girlfriend tweeted this: twitter.com/lavenderwhaley/status/1703200335689310320?t=vQH2Pu3I4jDDXLSV9usj7w&s=19
Dinosaur Hotel II,2,Best possible way to close out 2022
Bulletproof,2,Best thing about this was that they used the same dog from Babe Pig in the City
Mr. Boogedy,1,Better Disney Plus content than Artemis Fowl
Avengers: Infinity War,4.5,"Better log this before I see Endgame tomorrow.
As of right now, the best MCU movie. A monumental achievement that I rewatch scenes from on at least a weekly basis. I could never sufficiently put into words how much I adore this movie."
Cannibal! The Musical,2.5,Better musical than Emilia Perez! By that logic it should have 7 Golden Globes
Spider-Man: Homecoming,3.5,"Better than I remember. Funny, cute, exciting. It's cool to see how normal people live within this universe and I like the small stakes story that still manages to give the hero a chance to prove himself. The car scene is top tier MCU."
